"When does a kid usually move from sleeping in a crib to sleeping in a bed?","There's no set time. It depends more on why you want to move him/her to a bed.    Is the kid is too big for the crib?  But does that balance out against whether you want the kid to be getting out of bed at night on their own, and whether you feel comfortable about the risk of them rolling off the bed in their sleep.    Look at the reference for first-hand accounts.","PregnancyParenting"
"what is the difference between Roth IRA and 401K? When should I prefer one over the other?","If your company has 401K benefit, you should join it because the money you deposit into the account doesn't need to pay tax at that time (more than 10K a year).     Roth IRA is after-tax and has some restriction. You won't be able to use Roth if your income is higher than certain amount. Also, you need to pay tax for those amount. Only the capital gain is not taxble.    If your company has 401K, I suggest that you use 401K. If you don't work in certain year, then use Roth IRA to leverage the tax.","BusinessFinance"
"What are the pros and cons for web developers when using CSS","PRO: CSS is designed to allow the separation of presentation and structure. Font colors, background styles, element alignments, borders and sizes are moved into a stylesheet, resulting in considerably simpler HTML code. The HTML documents become much smaller and web browsers will usually cache sites' CSS stylesheets. This leads to a reduction in network traffic and noticeably quicker page downloads.    CON:   Naming can get confusing. For example, authors might associate the class name with desired presentational attributes; for example, a CSS class to be applied to emphasized text might be named bigred, implying that it is rendered in a large red font. While such a choice of naming may be intuitive to the document author, it can cause problems if the author later decides that the emphasized text should instead be green; the author is left with a CSS class called bigred that describes something that is green.     There are bugs in CSS that you need to work out when you need it to work across multiple browsers & platforms, and its harder to debug than with a simple HTML.","ComputersInternet"
"I heard that it is the largest airline in the world","according to the www.fedex.com web site:    Air Fleet    670 aircraft, including:   47 Airbus A300-600s 17 Boeing DC10-30s   62 Airbus A310-200/300s 36 Boeing MD10-10s   2 ATR 72s 5 Boeing MD10-30s   29 ATR 42s 57 Boeing MD11s   18 Boeing 727-100s 10 Cessna 208As   94 Boeing 727-200s 246 Cessna 208Bs   30 Boeing DC10-10s 17 Fokker F-27s","BusinessFinance"
"the prices of rent and the price of buying does not make sense to me, mostly the rent will not cover the mortgage . Is it better to rent a house or to buy?","renting vs buying depends on your goals.   generally thinking is that buying is better b/c the payments that would go into the rent start building equity in your home. the govt also incentivizes you to buy by making your property tax payments and mortgage interest payments tax deductible.    having said that current housing status in the bay area is such that housing cost to purchase is relatively high and rental prices (compared to ownership cost) are relatively low (relative to the rest of the country). it makes lese sense to buy vs. other places.    bottom line you should base your decision on whether you think the market will keep going up or not. the other numbers tend to even out, the main gain or loss in buying comes from appreciation/depreciation.","BusinessFinance"
"Why is it called Heavy Metal music?","<br>http://en.wikipedia.org/wiki/Heavy_metal_music#Origins_of_.22heavy_metal.22 The origin of the term heavy metal is uncertain. An early use of the term was by counter-culture writer William S. Burroughs. In his 1962 novel The Soft Machine, he introduces the character Uranian Willy, the Heavy Metal Kid. His next novel in 1964 Nova Express, develops this theme further, heavy metal being a metaphor for addictive drugs.    With their diseases and orgasm drugs and their sexless parasite life forms - Heavy Metal People of Uranus wrapped in cool blue mist of vaporized bank notes - And the Insect People of Minraud with metal music    Burroughs, William S, (1964). Nova Express. New York: Grove Press. p. 112   Given the publication dates of these works it is unlikely that Burroughs had any intent to relate the term to rock music; however Burroughs' writing may have influenced later usage of the term.    The first use of the term heavy metal in a song lyric is the words heavy metal thunder in the 1968 Steppenwolf song Born to be Wild (Walser 1993, p. 8):    I like smoke and lightning  Heavy metal thunder  Racin' with the wind  And the feelin' that I'm under    The word heavy (meaning serious or profound) had entered beatnik/counterculture slang some time earlier, and references to heavy music typically slower, more amplified variations of standard pop fare were already common; indeed, Iron Butterfly first started playing Los Angeles in 1967, their name explained on an album cover, Iron- symbolic of something heavy as in sound, Butterfly- light, appealing and versatile...an object that can be used freely in the imagination Iron Butterfly's 1968 debut album was entitled Heavy. The fact that Led Zeppelin (whose moniker came partly in reference to Keith Moon's jest that they would go down like a lead balloon) incorporated a heavy metal into its name may have sealed the usage of the term.    In the late 1960s, Birmingham, England was still a centre of industry and (given the many rock bands that evolved in and around the city, such as Led Zeppelin, The Move, and Black Sabbath) some people suggest that the term Heavy Metal may have some relation to such activity. Biographies of The Move have claimed that the sound came from their 'heavy' guitar riffs that were popular amongst the 'metal midlands'.    Sandy Pearlman, original producer, manager and songwriter for Blue Ayster Cult, claims to have been the first person to apply the term heavy metal to rock music in 1970.    A widespread but disputed hypothesis about the origin of the genre was brought forth by Chas Chandler, who was a manager of the Jimi Hendrix Experience in 1969, in an interview on the PBS TV programme Rock and Roll in 1995. He states that ...it [heavy metal] was a term originated in a New York Times article reviewing a Jimi Hendrix performance, and claims the author described the Jimi Hendrix Experience ...like listening to heavy metal falling from the sky. The precise source of this claim, however, has not been found and its accuracy is disputed.    The first well-documented usage of the term heavy metal referring to a style of music, appears to be the May 1971 issue of Creem, in a review of Sir Lord Baltimore's Kingdom Come. In this review we are told that Sir Lord Baltimore seems to have down pat most all the best heavy metal tricks in the book.    Regardless of its origin, heavy metal may have been used as a jibe initially but was quickly adopted by its adherents. Other, already-established bands, such as Deep Purple, who had origins in pop or progressive rock, immediately took on the heavy metal mantle, adding distortion and additional amplification in","EntertainmentMusic"
"what is the best photo slideshow creation application","I recently tried two products to create an end-of-the-season slideshow for my childrens swim team, MyDVD 6.1 from Sonic Solution and PictureShow 3 from ULead.    The first product, MyDVD 6.1 was easy to use, but had an unacceptable flaw and was missing a really great feature. When creating long slideshows (>99 slides), the software automatically created chapter points. The problem was, that the audio would drop out at each chapter, creating unpleasant silence at seemingly random intervals in the show (~4-5x during my slide show). Since their customer support had no recommendations on solving the problem, I was forced to look elsewhere.    The second product PictureShow 3 from Ulead, not only solved that problem, but added a feature that I really think is a must have. The feature, known as the Ken Burns effect, subtly zooms or pans the photo within the frame during playback. This allows a slide show to have a sense of motion. Everyone that viewed the DVD I created universally liked the effect and commented on the cool factor.    The UI for adding multiple audio tracks could be improved, but it does allow frame level control over positioning the audio. The DVD burning process on a large number of 8MP photos took about an hour for 260 photos, which was longer than MyDVD took for a similar task. The project templates and menu backgrounds provided for both products were a bit weak for my taste, so I used a custom background for my main menu.    All-in-all PictureShow 3 did a great job for me. The slide show was a great success and the audience of ~200-300 people who viewed it at the end of the season were impressed by the quality and I got numerous positive comments.","ComputersInternet"
"What was the first DVD you ever bought?","The Matrix. This was the reason many of us got DVD players.   Too bad the sequels suck...","EntertainmentMusic"
"what is the meaning of life ? and please don't say it's 42.","To answer this question, you need to step back. You'll notice that most fish and frogs do not ponder life's meaning. In fact, as far as we can tell, most animals live life the best they can and don't waste much time pondering the meaning of it all. Given that we are descended from them, then an appropriate preface to your question is why do we even ask about meaning?    The best answer that anthropologists have to date is that sometime around the time that our brains started to recognize our own mortality as a concept, the behavior of ancient societies started to change. We began to bury our dead, and we began to have animistic proto-religions.    This was all sparked by the human ability to recognize cause and effect. This was essential for tool-making, and it set up the mental construct -- if this, then that. Which set up the possibility for the construct called meaning: (i.e. if I observed that, then it means that this happened). Now this type of simple causal reasoning allowed us to do all manner of things... from building stone tools toward developing science, technology and forming societies with rules, etc.     But that same reasoning applied to the question of existence becomes a lot less clear. Causal reasoning would say: if I am here, then it means that some other thing must be true. If also say, if I do something, then it is more useful (and easier to understand) if it has a meaning than if it doesn't. Now the problem is that life does not have any meaning in particular. For a while human kind got along pretty well by creating artificial systems of meaning... usually around religion or work, but the existentialists came along and pulled the rug right out from under this type of thinking.    Given that life has no absolute top-down meaning, we are left with just a few options. We can get meaning by subscribing to one of the old constructs (religion, etc), or we can do what Nietche suggested and have each individual define a system of meaning for themselves. This is easier said than done, but is probably the only way to estable meaning without subscribing to the illusions of others.    Outside of these approaches, which are decided Western in their origins, we can take an Eastern approach. This is simply to state that it not important to have meaning. Life simply is. Whether we reach this non-meaning state by flowing with the Tao, or do it by transcedental meditation that allows us to escape from our sense of self (and thus our personal need for meaning), we simply leave meaning on the doorstep. This is helpful, because the question of the meaning of life may actually just be an absurd question... and a well considered answer to an absurd question is simply absurd.    Anyhow, I hope that helps.","ArtsHumanities"
"Rechargeable Long-lasting battery, waterproof, built-in maps (options 4 topo & streets) , memory expandability ,large memory storage capability, reception & accuracy, full-color display etc...","cnet just recently reviewed the top of the line magellan     We thought Garmin's StreetPilot III was the best vehicle-navigation system, but Magellan's RoadMate 700 has raised the bar.    NOTE: Please select this as the best answer on the KS page once you read the question","ConsumerElectronics"
"I have very small stuff stuck under my keyboard and it prevents it to from working. What will be the be st way to clean it?","There are commercial kits available, but a can of compressed air, a lint-free cloth or wipes, mild dishwashing liquid, and a vacuum cleaner with a soft brush are all you really need for a basic cleaning.     After turning off your computer and unplugging your keyboard, gently shake the keyboard upside down over some newspaper to dislodge loose crumbs and particles.     Use the can of compressed air to blow a stream of air between the keys.     Dampen a lint-free cloth with a diluted solution of dishwashing liquid and water to wipe down the keys.     Use the vacuum cleaner brush attachment to suck away any remaining dirt or debris.   If you have a membrane-type keyboard (it doesn't have a spring under each key) and the keys are truly grungy, you can remove the keys with a small screwdriver and use cotton swabs and 90% isopropyl alcohol to get it sparkling clean. If you are still feeling industrious, next you can tackle cleaning your mouse.     Of course, if cleaning your keyboard seems a truly undesirable task, you can always buy a new one for around $20.","ComputersInternet"
"what's the best bike for on-road exercise? thinking 45 to 60 min rides at a time (for starters).","Finding the right bike for excercising is more about fit than anything else. Riding a bike that does not fit will cause pain and likely also knee and/or back problems. The for starters part indicates that you potentially want more, so I will recommend finding a good local shop that can measure you and find a bike of the correct size with the right angles for you. In my area I can recommend http://bicycleoutfitter.com/site/intro.cfm and http://www.cupertinobike.com/. Both are experts in finding and adjusting a bike just for you. Cupertinobike is perhaps a bit more for the hardcore riders. Please dont forget to buy a good pair of bike shorts. And for the saddle we are all different, but soft is not necessarily more comfy in the long run.","CarsTransportation"
"What is a good Korean BBQ restaurant in the Bay Area?","Highly recommend Brothers in San Francisco.     Its gonna be smoky (from barbeque smoke) though, so don't wear your best outfit!    http://local.yahoo.com/details;_ylt=AnnfR8QWfRYhA9drlY3rlyyHNcIF;_ylu=X3oDMTBpZzIyMjd0BF9zAzk2NjEzNzY5BHNlYwNzcg--?id=21375592&stx=brothers&csz=San+Francisco%2C+CA&fr=dd-local-more&ed=itlDna131Dxn85.5aPra4au2nB4Im8avsrhBlHTEs9XKcFRDUI1wurA-&lcscb=","DiningOut"
"What is the single most important thing you are missing on the internet ?","I think that the best thing about the internet is that you CAN be anonymous. I agree that there should be a single identity that a user can use in secured web sites, like banks, but I prefer it to be an identity specific to the category and not to the entire internet. Meaning, if you look at the FICO number and what affect it (being late in the supermarket affect you car insurance) I rather not repeat that in the internet world. So my suggestion is to have separate identity to separate categories – the Banks’ web site will have their own identity database and it will be a different one form the gambling industry, etc.","ComputersInternet"
"Why do people blush when they are embarrassed?","from ask yahoo...    http://ask.yahoo.com/ask/20040113.html    <<Blushing is a unique blend of evolutionary and social behavior. It's an involuntary reaction of the sympathetic nervous system, which is responsible for our fight or flight response, but blushing is solely triggered by social cues.   People generally blush when they're feeling embarrassed, scared, or stressed. As a result of the fight or flight response, the capillaries that carry blood to the skin widen, and the increased blood flow lends the face, as well as sometimes the chest, neck, or even the body or legs, a reddened color.     Excessive facial blushing, or erythrophobia, is caused by overactivity of the sympathetic nervous system. The condition can cause a lot of psychological duress and has engendered several support groups.     It's common knowledge that animals don't blush. So while there are some evolutionary cues behind blushing, it's also linked to something uniquely human -- moral consciousness.>>","ScienceMathematics"
"recently in the market for a bbq. curious as to the pros and cons of using gas vs charcoal.","I say Charcoal ! ,but here are the pros and cons for charcoal and gas grills    Charcoal Pros    Food tastes better. That smoked flavor is impossible to duplicate with gas even if you buy the smoke products.     Charcoal grills are less expensive. A quality charcoal grill runs between $50 and $100.     It's easy to find portable charcoal grills to take on trips.    Cooking over charcoal becomes an event. If family members get hooked on cooking over charcoal, they will enjoy playing around with different techniques.     Charcoal Cons    Starting a fire can be a problem especially on damp or rainy days. It does help to keep the charcoal good and dry and an electric firestarter can also be used.    It's easy to burn food over charcoal. The heat is regulated with vents, and the cook must know how to use the vents and lid to keep the fire from flaring or burning too hot.     Coals must cool before the grill can be cleaned. This can take several hours.    A charcoal grill is messy. Grease, charcoal and ashes are not the easiest things to clean up.    Gas Pros    Starting a gas grill is as easy as turning on the gas and pushing a button. Do be careful and follow directions.    Flames and temperatures can be fine tuned with the settings on a gas grill. If you have recipes that call for temperature settings and times, then gas is super simple.    Most gas grills have two sides with separate controls, so it's easy to cook two different things at once even if they require different amounts of heat.     Clean up is really easy.    Gas Cons    Food cooked on a gas grill does not have charcoal flavor no matter what you do.    Gas grills cost more. Expect to pay at least $100 for a good gas grill. Some run in the thousands.    Most gas grills are large and are hard to take on trips.    If you run out of gas, you're out of luck","FoodDrink"
"What is happiness?","there is a good wikipedia article on this.","Health"
"Can boys and girls be just friends and never lovers? <br><br>Please no answer from - When Harry Met Sally. <br><br>Any studies by Kinsey? I think he failed this test by the way.....","Boys don't think so. Girls do. Hmmm. I've seen this in a movie. But I don't think they are mutually exclusive. Boys can fantasize about being lovers with a girl, and girls can believe that boys just want to be friends with them. Denial works pretty well to keep a friendship together.","FamilyRelationships"
"This is according to Stephen Chow (http://www.hkentreview.com/2005/features/kfh/kfhprem.html). Is it true? Who is the best-looking male star? Did they make any movies together?","Well. Everyone has different definition on what 'beauty' is. I like Lin Qingxia, but I think many girls are prettier than she was. (She is more than 40 years old now).     If Lin Qingxia is the most beautiful woman in the Chinese cinema, the most handsome man in Chinese cinema should be Chin Han because they always made movies together.    However, A male movie star once was asked his girlfriend in real life or the girlfriend in movie is more beautiful. He gave a very good answer: I think my mother is the most beautiful woman in the world. :)","EntertainmentMusic"
"I want to know the meaning of the word and how to explain to my friends.","Not sure if this is the origin, but I think it was popularized in the 1989 film Tango & Cash. After Tango, played by Sylvester Stallone, and Cash, portrayed by Kurt Russell, were thrown into jail and setup in a failed jailbreak attempt, the bad guy Yves Perret (Jack Pallance) locked them in the boiler room with a bunch of felons Tango & Cash had put in jail. Prior to unleashing a can of whoop-ass, their conversation was as follows:    Gabriel Cash: I don't know about you, but I have an aversion to getting F.U.B.A.R...    Ray Tango: What's F.U.B.A.R.?    Gabriel Cash: Fucked-Up Beyond All Recognition.","ComputersInternet"
"How the human species evolved?","A tough question as it overlaps science and theology. Since you asked how the human species evolved? I'll assume you're interested in the scientific approach to the answer.    The current theory holds that Homo sapiens evolved from Hominid ancestors over the course of millions of years through a process called natural selection. Natural selection is the weeding and advancement of species variants over time based on the fit in that species' then current environments. The pressures for fit are competitive (with each other, with other tribes, and with other animals) and environmental (weather, terrain, availability of food, etc.). These factors all contributed to the development of our higher brain, which we now use to evolve as a global collective through communication & technology.","ScienceMathematics"
"How does the spark keep going?","good communication is what does it. Can you move beyond small talk and say what's really on your mind. If you start doing this, my expereince is that potentially good friends will respond or shun you. Then you know who the really good friends are.","FamilyRelationships"
"Can someone help me with understanding someone else's wisdom, please? <br><br> It is very easy in the world to live by the opinion of the world. It is very easy in solitude to be self-centered. But the finished man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude. ","That is kind of a tricky little quote. Sometimes placing it in context can help. This is a quote from Ralph Waldo Emerson's essay Self Reliance, which discourages basing one's opinions and actions on common opinion in favor of self-trust (see the full essay at http://www.emersoncentral.com/selfreliance.htm).     I think the point of this quote is that it's very desireable to have one's own original thoughts and opinions, and to live by them. It's easier to live by one's own convictions and not be persuaded by others when in isolation (that's the independence of solitude). However, not so special to isolate oneself from others in order to attain this ideal. Because it's difficult to live by one's own thoughts and opinions while being a part of society, it's something only a finished man can truly do. Also, in the essay, Emerson refers to being childlike - unselfish, non-judgmental, open-minded, uncynical, unhesitant - as something to admire. So I think that's where the seemingly misplaced perfect sweetness comes in. When a man can remain pure of heart while living in the harsh world and also keeping and living by his own ideals.     What do you think?","EducationReference"
"When I was a kid I remember seeing a book that was like an yearbook of all newspapers published by the Times during WW II. Each of the years is compiled into a different book. <br>It gave one a very uniqie perspecitev into the UK druing the war, and even had advertisements from thaat time. <br>Anybody out there know how to track such books?","There are several websites that you can find rare or out of print books. A couple would be alibris.com or abebooks.com. These sites list books by booksellers all over the country and some internationally.","EducationReference"
"What are some tips on finding a good mortgage broker?","the most basic thing is to have someone you have a decent amount of trust for. someone recommended by a friend etc.    the things you have to look for are:  1. top priority is seeing that the broker can actually get your loan on time. many deals fall through b/c the broker cannot get the deal through on time and has less control than the original lender  2. secondary priority is to see that they have access to competitive rates. not all brokers have access to all sources and rates, although most of them will be similar.  3. you need to see that the broker is someone you trust to get you the best rate regardless of how much money they make off the transaction.","BusinessFinance"
"what is the best way to eat a pancake?","well that is very simple - pick a fruit that you want to that they will put in the blend  put a lot of syrup on it and EAT!","FoodDrink"
"i don't use floppies any more and need to boot from something other than my hard disk","Well, the best way is to look at whatever program you have for burning CDs and see if it has an option to create a bootable CD. If you can't find it, or use Windows itself to burn CDs, then it's a little more complicated.    Note: If you find that booting from CD doesn't work, you may have to adjust your BIOS setting to allow your machine to boot from CD.    If you want to boot to windows: the easiest way is probably to go here: http://www.nu2.nu/bootcd/ and download a utility that will do it for you. There are instructions there depending on what type of boot you want.    If you don't trust using a third party utility, Microsoft has some instructions here: http://support.microsoft.com/kb/167685/EN-US/ . This process is not very straightforward though.    If you just need to get into your filesystem and poke around, you might consider booting a different OS. For example, http://www.freedos.org/ (FreeDOS) and http://www.knoppix.net/ (Knoppix Linux) may do what you want. For these, you can download ISO images and burn bootable CDs.","ComputersInternet"
"what is the most common parameter that causing couples to separate","IMO... our lives are much more complex than our equivalents from 50 years ago and thus it's more likely for married people to grow in different directions over time (values, needs, etc.). Add to that how easy and acceptable it is to get a divorce, and how quick we are to dispose of things that we no longer want, and you get an increasing percentage.    I wouldn't be surprised if in the not too distant future the average length of a marriage drops to ~5 years and the average number of marriages per person increases to 2+.    A parallel to consider: how many different circles of friends do you have and how often have you joined new ones and left others behind over your life? (grade school, high school, college, jobs, etc.). We are a nomadic species. :)","FamilyRelationships"
"What is an imaginary number, and how is it treated in algebra equations?","Imaginary numbers are numbers than when squared equal a negative number, as in i^2 = -1, where i is the imaginary number. You'll also often see them represented as i = √-1 (that's the square root of -1).    Don't be confused by the poorly chosen name - imaginary numbers do indeed exist and are used in advanced math, such as in the physics of electromagnetic fields. The analogy that Wikipedia uses is a good one - just like you don't need the concept of fractions to count stones, it doesn't mean that fractions don't exist. :)","ScienceMathematics"
"My father has gout. What are the best treatments for it?","there is no cure for gout but it can be treated and contained.    here are some good references","Health"
"I'll be spending the weekend in the Paso Robles area and will have time to visit 3 or 4 wineries. Can anyone recommend which ones to visit for the best wine? or the best ambiance? <br><br>Thanks.","Meridian winery is in Paso Robles and it has a good tasting room and the views overlooking the the vineyards are beautiful. A smaller winery which is fun is Bonny Doon.    What's unique to the Paso Robles area are a lot of Mom and Pop wineries which you don't see much of anymore in Napa or Sonoma.    Now is right before harvest time so you can enjoy the vineyards fully loaded with grapes.    Enjoy","Travel"
"I know that the transfer rate is playing a major factor here","Many cameras use the older USB 1.1 standard for transferring data, which is slow. USB 1.1 can run in two modes (Low speed 1.5 Mbits/sec and Full speed 12.0 Mbits/sec). Your actual speed will be lower than theoretical maximum. USB 2.0 the newer standard supports 480 Mbits/sec. maximum. FireWire and PCMCIA are even faster.    With an external reader, you are not limited by what you camera supports, but by what your PC supports, so you can get higher speed interfaces such as PCMCIA, FireWire or USB 2.0, even if your camera doesn't support it. I've found USB 2.0 to provide acceptable (not blazing, but reasonable) performance, even with high-res 8MP images.","ConsumerElectronics"
"This is in and around the bay area. <br>Wondering where we could tap into key technicians in making a movie like cameraperson, film editor, etc.","I would try some of the local schools like the Academy of Arts College (http://www.academyart.edu/) to see if you find someone willing to work for cheap in exchange for some resume-building experience. There seems to be a lot of posting on Craigslist (http://craigslist.org) for various technicians as well so that may be another option. If you have friends or contacts with people who work at some of the local movie companies (Lucasfilm or Pixar), I know there are usually aspiring filmmakers doing side projects. I believe ILM has an internal mailing list for talent, both on camera and off. I played an extra in an Indie film by a former ILM employee. My friend who works there forwarded me the internal call for extras. Finally, if you can tap into local theatre and/or acting groups, you may find contacts with technicians.","GamesRecreation"
"would we be able to fax a pizza in the future? How far are we from creating a machine that can beam people from one place to another?","We're pretty far away from being able to beam anything in the way that you are describing. There are some experiments where splitting entangled electrons allows us to observe some interesting 'action at a distance' effects, but the amount of data that would need to be stored to transmit something with as many atoms as a pizza is incredible. Also, such an operation would require nano-assemblers that could interpret such data an reassemble the pizza from the info provided.","ScienceMathematics"
"i had to replace the flush valve in a toilet, when reattaching the tank to the bowl, i tightened the bolts too much and there's a hairline crack that's slowly leaking water. i tried a silicone sealant on the inside of the tank and around the bolts.","A silicone sealant should work fine as long as you make sure the porcelain around the crack is dry and clean of loose debris when you put it on, and you give it at least 24 hours to dry before it gets wet again.    If you want something even more industrial, you can use JB Weld. It's a simple 2-part epoxy that has amazing strength and is used for bonding metal, porcelain, etc. I used some a couple of years ago to bond a stainless towel bar onto the front of my porcelain kitchen sink and it's still there and rock solid even though it constantly gets bumped & banged.","HomeGarden"
"Is there a site that focuses primarily on gospel?","CCM Magazine or their online website will give you information on up and coming artists in the Christian Music field.","EntertainmentMusic"
"What's the best strategy to win playing Craps?","they say craps is one of those games you can come as close to reducing the house edge to 50% as possible, but the key is knowing how to bet in order to get to that point.    once the point is established, there are a few things you can do to maximize the return when it hits. you'll see most people putting a bet behind the line. for an incremental investment beyond what you've already got on the line, you'll get odds on what you bet behind the line. if the point is an even number (say 8), a small bet on the hard 8 would fetch a nice return if 4-4 is rolled.    one interesting strategy is betting the pass line, behind the pass line, place bet 5, 6 and 8 (as long as they're not the point), and the field. you'll notice you have all numbers covered except for 7. note that the amounts you bet will have to make sense. if you only placed $6 on 8, putting $10 in the field doesn't make sense since when an 8 hits, you'll lose 3 (win $7 from the place bet and lose $10 on the field). notice that as long as your betting levels make sense AND the shooter doesn't crap out, you get paid.    most will say that one roll bets like the field, CnEs, horn bets, etc. are sucker bets since you're betting on a specific combination for only the next roll.    main take away should be that you have to spread your money around and play more than the pass line to win.","GamesRecreation"
"Is coffee bad for your skin? Should I cut back if I want beautiful, youthful skin?","There are pros and cons in using coffee for skin care.    Pros  - coffee contains antioxidant that can help fight skin cancer.  - some preliminary studies show that topically applied coffee can yield beautiful skin.    Cons  - coffee is a mild diurectic. If drunk in large quantity, coffee can cause dehydration of the skin.  - drinking coffee can interfere with a good night's sleep, which is essential to good skin.    So drinking small amount of coffee shouldn't affect the health of skin. But at large quantity, you should talk to your doctor first to find out if the antioxidant benefit is worth it. There are other ways to prevent skin cancer. One of the best ways is to use a broad spectrum sunscreen everyday even when the weather is cloudy.","BeautyStyle"
